shoe_name_zh,brand_zh,price_zh,court_type_zh,foot_type_zh,material_zh,player_zh,link_cn_zh,link_global_zh,position_zh
Nike Kyrie 8,Nike,999,室内,正常脚,针织,Kyrie Irving,https://dewu.com/k8,https://amazon.com/k8,guard
Adidas Dame 9,Adidas,899,混合,正常脚,针织,Damian Lillard,https://dewu.com/d9,https://amazon.com/d9,guard
李宁全城10,李宁,899,混合,正常脚,合成,,https://dewu.com/qc10,https://amazon.com/qc10,guard
安踏水花3,安踏,899,户外,宽脚,针织,Klay Thompson,https://dewu.com/sh3,https://amazon.com/sh3,guard
Under Armour Curry 9,Under Armour,999,室内,正常脚,针织,Stephen Curry,https://dewu.com/c9,https://amazon.com/c9,guard
New Balance Two WXY v2,New Balance,949,混合,正常脚,网面,,https://dewu.com/tw2,https://amazon.com/tw2,guard,forward
Puma MB.01,Puma,899,室内,正常脚,网面,LaMelo Ball,https://dewu.com/mb1,https://amazon.com/mb1,guard
Reebok Answer 11,Reebok,999,室内,正常脚,皮革,Allen Iverson,https://dewu.com/a11,https://amazon.com/a11,guard
Nike Kobe 6 Protro,Nike,1299,室内,正常脚,合成,Kobe Bryant,https://dewu.com/k6,https://amazon.com/k6,guard,forward
Adidas Harden Vol.6,Adidas,999,室内,正常脚,针织,James Harden,https://dewu.com/h6,https://amazon.com/h6,guard
Nike Kyrie Infinity,Nike,949,混合,正常脚,针织,Kyrie Irving,https://dewu.com/ki,https://amazon.com/ki,guard
Adidas Dame 8,Adidas,899,混合,正常脚,针织,Damian Lillard,https://dewu.com/d8,https://amazon.com/d8,guard
李宁音速10,李宁,799,混合,正常脚,网面,,https://dewu.com/ys10,https://amazon.com/ys10,guard
安踏海沃德2,安踏,849,户外,宽脚,针织,Gordon Hayward,https://dewu.com/hw2,https://amazon.com/hw2,guard,forward
Under Armour Curry 8,Under Armour,999,室内,正常脚,针织,Stephen Curry,https://dewu.com/c8,https://amazon.com/c8,guard
New Balance OMN1S,New Balance,999,混合,正常脚,网面,,https://dewu.com/o1,https://amazon.com/o1,guard
Puma Clyde Hardwood,Puma,849,室内,正常脚,皮革,,https://dewu.com/ch,https://amazon.com/ch,guard
Reebok Shaqnosis,Reebok,949,室内,宽脚,皮革,Shaquille O'Neal,https://dewu.com/sn,https://amazon.com/sn,center,forward
Nike Air Zoom Generation,Nike,999,室内,正常脚,皮革,LeBron James,https://dewu.com/azg,https://amazon.com/azg,forward,guard
Adidas Pro Bounce 2021,Adidas,849,室内,正常脚,合成,,https://dewu.com/pb21,https://amazon.com/pb21,guard
李宁全城9,李宁,849,混合,正常脚,合成,,https://dewu.com/qc9,https://amazon.com/qc9,guard
安踏水花4,安踏,949,户外,宽脚,针织,Klay Thompson,https://dewu.com/sh4,https://amazon.com/sh4,guard
Under Armour Lockdown 6,Under Armour,799,室内,正常脚,合成,,https://dewu.com/ld6,https://amazon.com/ld6,guard
New Balance Fresh Foam X,New Balance,899,混合,正常脚,网面,,https://dewu.com/ffx,https://amazon.com/ffx,guard
Puma Sky,Puma,849,室内,正常脚,皮革,,https://dewu.com/sk,https://amazon.com/sk,guard
Reebok Answer 5,Reebok,999,室内,正常脚,皮革,Allen Iverson,https://dewu.com/a5,https://amazon.com/a5,guard
Nike Air Max Impact 2,Nike,749,混合,宽脚,合成,,https://dewu.com/ami2,https://amazon.com/ami2,guard
Adidas Pro Bounce 2018,Adidas,799,室内,正常脚,合成,,https://dewu.com/pb18,https://amazon.com/pb18,guard
李宁闪击7,李宁,799,室内,正常脚,网面,,https://dewu.com/sj7,https://amazon.com/sj7,guard
安踏轻骑兵5,安踏,699,户外,正常脚,合成,,https://dewu.com/qb5,https://amazon.com/qb5,guard
