shoe_name_zh,brand_zh,price_zh,court_type_zh,foot_type_zh,material_zh,player_zh,link_cn_zh,link_global_zh,position_zh
Adidas Harden Vol.8,Adidas,1199,室内,正常脚,针织,James Harden,https://dewu.com/h8,https://amazon.com/h8,guard
Under Armour Curry 12,Under Armour,1299,室内,正常脚,针织,Stephen Curry,https://dewu.com/c12,https://amazon.com/c12,guard
李宁全城13,李宁,1099,混合,正常脚,合成,,https://dewu.com/qc13,https://amazon.com/qc13,guard,forward
安踏水花8,安踏,1199,户外,正常脚,针织,Klay Thompson,https://dewu.com/sh8,https://amazon.com/sh8,guard
New Balance Two WXY v4,New Balance,1099,混合,正常脚,网面,,https://dewu.com/tw4,https://amazon.com/tw4,forward,guard
Puma MB.03,Puma,999,室内,正常脚,网面,LaMelo Ball,https://dewu.com/mb3,https://amazon.com/mb3,guard
Reebok Answer 13,Reebok,1099,室内,正常脚,皮革,Allen Iverson,https://dewu.com/a13,https://amazon.com/a13,guard
Nike LeBron 21,Nike,1399,室内,宽脚,合成,LeBron James,https://dewu.com/l21,https://amazon.com/l21,forward,center
李宁驭帅17,李宁,1199,混合,正常脚,网面,,https://dewu.com/ys17,https://amazon.com/ys17,forward
安踏要疯10,安踏,999,户外,宽脚,针织,,https://dewu.com/yf10,https://amazon.com/yf10,forward
Under Armour Embiid 4,Under Armour,1099,室内,宽脚,针织,Joel Embiid,https://dewu.com/e4,https://amazon.com/e4,center
New Balance BB 10000,New Balance,1199,混合,正常脚,合成,,https://dewu.com/bb10,https://amazon.com/bb10,all
Puma Rise Pro,Puma,949,室内,正常脚,网面,,https://dewu.com/rp,https://amazon.com/rp,guard
Reebok Answer 14,Reebok,1149,室内,正常脚,皮革,Allen Iverson,https://dewu.com/a14,https://amazon.com/a14,guard
Nike LeBron 20,Nike,1299,室内,宽脚,合成,LeBron James,https://dewu.com/l20,https://amazon.com/l20,forward,center
李宁驭帅16,李宁,1099,混合,正常脚,网面,,https://dewu.com/ys16,https://amazon.com/ys16,forward,guard
安踏水花7,安踏,1099,户外,正常脚,针织,Klay Thompson,https://dewu.com/sh7,https://amazon.com/sh7,guard
Under Armour Curry 11,Under Armour,1249,室内,正常脚,针织,Stephen Curry,https://dewu.com/c11,https://amazon.com/c11,guard
New Balance Two WXY v3,New Balance,999,混合,正常脚,网面,,https://dewu.com/tw3,https://amazon.com/tw3,forward
Puma MB.02,Puma,949,室内,正常脚,网面,LaMelo Ball,https://dewu.com/mb2,https://amazon.com/mb2,guard
Reebok Question Mid 2023,Reebok,999,室内,宽脚,皮革,Allen Iverson,https://dewu.com/qm23,https://amazon.com/qm23,guard
Nike Air Max 2022,Nike,1049,混合,宽脚,合成,,https://dewu.com/am22,https://amazon.com/am22,forward
Adidas Pro Bounce 2022,Adidas,899,室内,正常脚,合成,,https://dewu.com/pb22,https://amazon.com/pb22,forward,guard
李宁全城12,李宁,999,混合,正常脚,合成,,https://dewu.com/qc12,https://amazon.com/qc12,guard
安踏水花6,安踏,1049,户外,正常脚,针织,Klay Thompson,https://dewu.com/sh6,https://amazon.com/sh6,guard
Under Armour Embiid 3,Under Armour,999,室内,宽脚,针织,Joel Embiid,https://dewu.com/e3,https://amazon.com/e3,center
New Balance BB 5600,New Balance,949,混合,正常脚,合成,,https://dewu.com/bb56,https://amazon.com/bb56,forward
Puma Rise Nitro,Puma,899,室内,正常脚,网面,,https://dewu.com/rn,https://amazon.com/rn,guard,forward
Reebok Answer 12,Reebok,1049,室内,正常脚,皮革,Allen Iverson,https://dewu.com/a12,https://amazon.com/a12,guard
Nike Zoom G.T. Run,Nike,1099,混合,正常脚,网面,Russell Westbrook,https://dewu.com/zgt,https://amazon.com/zgt,guard
Adidas Trae Young 1,Adidas,949,混合,正常脚,合成,Trae Young,https://dewu.com/ty1,https://amazon.com/ty1,guard
